"타임스탬프","(필수답변) 1-1. 이번 프로그램 전반에 대하여 얼마나 만족하셨습니까?","(선택답변) 1-1. 불만족 시 사유 ","(필수답변) 1-2. 이번 프로그램을 다른 사람에게 추천하실 의향이 있으십니까?","(선택답변) 1-2. 불만족 시 사유 ","(필수답변) 2-1. 본 과정은 학습자 수준에 맞춰 체계적으로 내용으로 구성되었습니까?","(선택답변) 2-1. 불만족 시 사유 ","(필수답변) 3-1. 본 과정의 교육 시설 및 환경에 만족하셨습니까?","(선택답변) 3-1. 불만족 시 사유 ","(필수답변) 3-2. 본 과정을 위해 주어진 시간을 적절하였습니까?","(선택답변) 3-2. 불만족 시 사유 ","(필수답변) 3-3. 본 과정을 위한 운영, 지원에 대하여 만족하셨습니까?","(선택답변) 3-3. 불만족 시 사유 ","(필수답변) 4-1. 본 과정의 강사는 교육을 열정적으로 이끌었습니까?","(선택답변) 4-1. 불만족 시 사유 ","(필수답변) 4-2. 본 과정의 강사는 질의응답 혹은 피드백에 적극적으로 답하였습니까?","(선택답변) 4-2. 불만족 시 사유 ","(필수답변) 4-3. 본 과정의 난이도는 대체로 적절하였습니까?","(선택답변) 4-3. 불만족 시 사유 ","(필수답변) 4-1. 본 과정의 강사는 교육을 열정적으로 이끌었습니까?","(선택답변) 4-1. 불만족 시 사유 ","(필수답변) 4-2. 본 과정의 강사는 질의응답 혹은 피드백에 적극적으로 답하였습니까?","(선택답변) 4-2. 불만족 시 사유 ","(필수답변) 4-3. 본 과정의 난이도는 대체로 적절하였습니까?","(선택답변) 4-3. 불만족 시 사유 ","6-1. 교육 진행 중 유익하고 좋았던 점을 자유롭게 작성해주세요.","6-2. 교육 진행 중 개선되었으면 하는 점을 자유롭게 작성해주세요.","6-3.  전문인재 인증자 특강 관련 희망 방향 및 주제를 자유롭게 작성해 주세요.  "
"2026/05/07 5:34:13 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 5:34:54 오후 GMT+9","9","","9","","9","","10","","10","","9","","9","","9","","9","","9","","9","","9","","","",""
"2026/05/07 5:35:04 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 5:48:24 오후 GMT+9","10","","10","","10","","7","","7","","10","","10","","10","","10","","10","","10","","10","","시연과 설명이 적절이 이루어져서 만족스러웠습니다.","개인별 차이가 있겠지만 9시반 도착이 애매하다",""
"2026/05/07 5:58:49 오후 GMT+9","5","노년 아재들의 투머치 토크","5","","10","","5","좁다. 공기 나쁘다. ","10","","6","사전 자료 제공은 적은데 참여도는 높길 바라는 건 억지다","8","","10","","5","","10","조 수석은 왜 끼어들어 한시간이나 낭비하는지?","10","","10","","많은 분들 알게 되어 좋고 기대된다","조수석 언행 자제. 유머도 개구림. ","실제 문제상황 해결한 사례가 공유되면 좋겠음. "
"2026/05/07 5:59:17 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","감사님들의 열정과 노고에 감사드립니다 그리고 운영자님들도 감사드립니다",".","."
"2026/05/07 5:59:27 오후 GMT+9","9","","10","","9","","9","","9","","10","","9","","10","","9","","9","","9","","9","","다양한 곳에서 오신 전문가들과의 네트워킹","","공공 우수 사례 특강"
"2026/05/07 5:59:44 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","실무에 적용가능한 교육","없음","실무 실적용 사례"
"2026/05/07 6:00:07 오후 GMT+9","10","","10","","8","","10","","8","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 6:00:47 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","드디어 제대로 된 수준높은 교육을 듣게 되었다는 느낌이 들어 스스로 대단히 고무적이었습니다.","",""
